[Header] 2014-05-11 00:01:44,039 [10] INFO  BayesClassify.Program [(null)] - learn start
[Header] 2014-05-11 00:10:21,929 [9] INFO  BayesClassify.Program [(null)] - learn start
[Header] 2014-05-11 00:13:09,089 [8] INFO  BayesClassify.Program [(null)] - learn start
2014-05-11 00:15:07,985 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 在乎:0.995391705069124
2014-05-11 00:15:07,986 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我的:0.988649940262843
2014-05-11 00:15:07,986 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 的人:0.979166666666667
2014-05-11 00:15:07,987 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.999999973483304
2014-05-11 00:15:07,987 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,988 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 你还:0.995967741935484
2014-05-11 00:15:07,988 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 还没:0.996168582375479
2014-05-11 00:15:07,989 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 没有:0.983666061705989
2014-05-11 00:15:07,989 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 快来:0.932960893854749
2014-05-11 00:15:07,990 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我的:0.98865671641791
2014-05-11 00:15:07,990 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.999999999786828
2014-05-11 00:15:07,990 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,991 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 手机:0.914754098360656
2014-05-11 00:15:07,992 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 可以:0.992862076905365
2014-05-11 00:15:07,992 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 必备:0.992619926199262
2014-05-11 00:15:07,993 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 地址:0.989993328885924
2014-05-11 00:15:07,994 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.99999994965143
2014-05-11 00:15:07,994 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,995 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 这个:0.980886185925282
2014-05-11 00:15:07,995 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.980886185925282
2014-05-11 00:15:07,996 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:07,997 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 好的:0.967071057192374
2014-05-11 00:15:07,998 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 是你:0.986984815618221
2014-05-11 00:15:07,999 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 男人:0.998581560283688
2014-05-11 00:15:07,999 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 看到:0.973684210526316
2014-05-11 00:15:08,000 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 世界:0.957725947521866
2014-05-11 00:15:08,000 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 了一:0.974338412189254
2014-05-11 00:15:08,001 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.99999999997996
2014-05-11 00:15:08,001 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,002 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 原来:0.963470319634703
2014-05-11 00:15:08,002 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.963470319634703
2014-05-11 00:15:08,003 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,003 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 改变:0.984555984555984
2014-05-11 00:15:08,004 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 世界:0.957787481804949
2014-05-11 00:15:08,004 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 果断:1
2014-05-11 00:15:08,005 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,005 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,006 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一条真实的没有任何维和词语的微博
2014-05-11 00:15:08,007 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 销量:1
2014-05-11 00:15:08,007 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,008 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,009 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我在:0.751381215469613
2014-05-11 00:15:08,010 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 姑娘:0.975155279503106
2014-05-11 00:15:08,012 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 消失:1
2014-05-11 00:15:08,012 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 少女:0.995260663507109
2014-05-11 00:15:08,013 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 的不:0.985436893203884
2014-05-11 00:15:08,014 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我的:0.988663484486873
2014-05-11 00:15:08,015 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,015 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,016 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一条真实的没有任何维和词语的微博
2014-05-11 00:15:08,018 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 看看:0.944444444444444
2014-05-11 00:15:08,019 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 看我:1
2014-05-11 00:15:08,019 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,019 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,020 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一条真实的没有任何维和词语的微博
2014-05-11 00:15:08,021 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 麻麻:1
2014-05-11 00:15:08,021 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 爱你:0.995535714285714
2014-05-11 00:15:08,021 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,022 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
