93123,35366
一个,0.192670926878923,0.0229236283047942
佰草,0.00808686308884239,0
世家,0.00786065712831533,0.000225080942569732
推荐,0.035372957077419,0.00531537302837751
可以,0.100859582650003,0.0194089028169746
精油,0.00848272351976475,0.000207767023910522
用了,0.0106316801447718,0.000813754176982877
没有,0.11502573092801,0.0103537233582077
神器,0.011310298026353,0.000103883511955261
效果,0.0134592546513601,0.00237200685631179
不是,0.105468529095742,0.00625032463597486
自己,0.182039246734151,0.0179199058122825
就是,0.0987106260249958,0.0101113284969787
无效,0.00472204942600237,6.92556746368406E-05
每天,0.0255612735395578,0.00628495247329328
产品,0.00998133800825652,0.00122928822480392
分享,0.0298591867895719,0.0197205533528403
现在,0.0459763614771249,0.00796440258323666
退款,0.00438274048521179,0.000121197430614471
什么,0.108720239778318,0.0135741122288207
女人,0.0430074082452073,0.00543657045899198
这个,0.0679466153933156,0.0153055040947418
这款,0.0108578861052989,0.00161019443530654
你的,0.103404399705932,0.00829336703776166
真的,0.0424984448340214,0.00368786467441176
精华,0.00579652773850591,0.000502103641117094
如果,0.0692190239212803,0.00680437003306959
的人,0.125148447661596,0.011202105372509
承诺,0.0102640954589153,0.000346278373184203
那么,0.0473053214952214,0.00313381927731704
我的,0.0631114629870497,0.00798171650189587
不要,0.0797941525759204,0.00805097217653271
因为,0.079652773850591,0.00592136018144987
皮肤,0.0159757959622236,0.00299530792804335
怎么,0.0342984787649155,0.00744498502346036
知道,0.0727817677995815,0.00612912720536039
时候,0.100096137533224,0.00683899787038801
不用,0.0152123508454448,0.00230275118167495
试试,0.00873720522535769,0.00174870578458022
脸上,0.00814341457897416,0.000917637688938137
不到,0.0251371373635695,0.00252783212424468
地址,0.0234688684046825,0.00623301071731565
安全,0.00983995928292711,0.00185258929653548
有效,0.00817169032404004,0.00169676402860259
男人,0.0344681332353107,0.00531537302837751
朋友,0.0463439461629814,0.00834530879373929
需要,0.0418481026975061,0.00528074519105909
唯一,0.0107447831250353,0.000779126339664456
一次,0.031046768082339,0.00592136018144987
都是,0.046683255103772,0.007167962324913
正品,0.0056551490131765,0.0176948248697128
了一,0.0356557145280778,0.0103190955208892
任何,0.0226771475428378,0.00110809079418945
