29664,10968
一个,0.196115973741794,0.0266902011125374
佰草,0.0259846827133479,0
世家,0.025346462436178,0.000106974753958066
推荐,0.0535193289569657,0.00476037655113393
可以,0.109500364697301,0.0189880188275567
精油,0.0205142231947484,5.34873769790329E-05
用了,0.0222465353756382,0.00106974753958066
没有,0.111323851203501,0.0110183996576808
神器,0.0193289569657185,0.000160462130937099
效果,0.0225200583515682,0.00171159606332905
不是,0.106673960612691,0.00743474540008558
自己,0.172775346462436,0.0193624304664099
就是,0.0962800875273523,0.0118741976893453
无效,0.0133114514952589,5.34873769790329E-05
每天,0.0340991976659373,0.00604407359863072
产品,0.0177789934354486,0.00155113393239196
分享,0.0337345003646973,0.0173299101412067
现在,0.0557986870897155,0.00850449293966624
退款,0.012490882567469,0.000106974753958066
什么,0.104212253829322,0.0155113393239196
女人,0.0475018234865062,0.0050278134360291
这个,0.075127644055434,0.016206675224647
这款,0.0183260393873085,0.00144415917843389
你的,0.102206418672502,0.00903936670945657
真的,0.050601750547046,0.00497432605905006
精华,0.0116703136396791,0.000374411638853231
如果,0.0727571115973742,0.00780915703893881
的人,0.11925601750547,0.0121416345742405
承诺,0.0165025528811087,0.000320924261874198
那么,0.0574398249452954,0.00395806589644844
我的,0.0659190371991247,0.00903936670945657
不要,0.0790481400437637,0.00759520753102268
因为,0.0806892778993435,0.00759520753102268
皮肤,0.0209700948212983,0.00224646983311938
怎么,0.0428519328956966,0.00791613179289688
知道,0.075218818380744,0.00588361146769362
时候,0.0934536834427425,0.00786264441591784
不用,0.0194201312910284,0.00208600770218228
试试,0.0145878920495988,0.00187205819426615
脸上,0.0134938001458789,0.000855798031664527
不到,0.0316374908825675,0.00272785622593068
地址,0.0291757840991977,0.00508130081300813
安全,0.0139496717724289,0.00208600770218228
有效,0.0144055433989788,0.00181857081728712
男人,0.0359226841721371,0.00566966195977749
朋友,0.0511487964989059,0.00866495507060334
需要,0.0431254558716265,0.00561617458279846
唯一,0.0145878920495988,0.00112323491655969
一次,0.0305433989788476,0.00647197261446299
