77286,29546
一个,0.192344141338929,0.0238793464599916
佰草,0.00967982129560685,0
世家,0.0094090570635619,0.000146627565982405
推荐,0.0355716509849049,0.00410557184750733
可以,0.101773505719894,0.0189359028068706
精油,0.00930752047654505,0.000209467951403435
用了,0.0115751709199215,0.000837871805613741
没有,0.114228660393962,0.0104105571847507
神器,0.0126243823190956,0.000104733975701718
效果,0.0142828132403709,0.00222036028487641
不是,0.106004196845597,0.00670297444490993
自己,0.182698165572328,0.0182237117720989
就是,0.0992012455154674,0.0106409719312945
无效,0.0053475935828877,2.09467951403435E-05
每天,0.026162593921343,0.00609551738583997
产品,0.0112367156298653,0.00119396732299958
分享,0.0270425776754891,0.0159614578969418
现在,0.0468083666147702,0.00777126099706745
退款,0.00494144723482028,8.37871805613741E-05
什么,0.107459554592838,0.0138877251780478
女人,0.0439991877073039,0.00527859237536657
这个,0.0669803019021187,0.0159824046920821
这款,0.0116767075069383,0.00165479681608714
你的,0.104650375685372,0.00854629241726016
真的,0.0433899681852027,0.00400083787180561
精华,0.00605834969200569,0.000544616673648932
如果,0.071210993027821,0.00701717637201508
的人,0.124043863805591,0.0112903225806452
承诺,0.0107628782237866,0.000293255131964809
那么,0.0481621877749949,0.00337243401759531
我的,0.0636634400595681,0.00814830330959363
不要,0.0810261964394503,0.00812735651445329
因为,0.0808569687944223,0.00628403854210306
皮肤,0.0163473905097137,0.00276497695852535
怎么,0.0350978135788262,0.00754084625052367
知道,0.0729371150071076,0.00609551738583997
时候,0.100047383740608,0.00714285714285714
不用,0.0159750896906519,0.00242982823627985
试试,0.00923982941853381,0.00150816925010473
脸上,0.0086644554254383,0.000942605781315459
不到,0.025451837812225,0.00257645580226225
地址,0.0232518784268598,0.00571847507331378
安全,0.0105598050497529,0.0017804775869292
有效,0.00913829283151696,0.00173858399664851
男人,0.0357070331009274,0.00548806032677
朋友,0.0468422121437758,0.00791788856304985
需要,0.0426115210180735,0.00542521994134897
唯一,0.0111690245718541,0.000795978215333054
一次,0.0314424964462195,0.0058232090490155
