45537,17194
一个,0.192567174595789,0.02529725152595
佰草,0.0165755496103292,0
世家,0.0161684308479702,0.000176410401157252
推荐,0.0442596254507386,0.00416328546731115
可以,0.104687681749447,0.0188406308435945
精油,0.0136093986274282,0.000105846240694351
用了,0.0161102710247761,0.000952616166249162
没有,0.114400372222868,0.0111491373531383
神器,0.0147725950913109,0.000105846240694351
效果,0.0175061067814354,0.00208164273365558
不是,0.104978480865418,0.00712698020675299
自己,0.179074095614749,0.0188053487633631
就是,0.0994532976619751,0.0115019581554528
无效,0.00872397347912062,3.52820802314504E-05
每天,0.029603350005816,0.00617436404050383
产品,0.0144236361521461,0.00130543696856367
分享,0.026637199022915,0.0154888332216067
现在,0.0505408863557055,0.00800903221253925
退款,0.00814237524717925,7.05641604629009E-05
什么,0.10724671396999,0.0148537557774406
女人,0.0458299406769803,0.00532759411494902
这个,0.072757938815866,0.0169001164308648
这款,0.0145981156217285,0.00148184736972092
你的,0.104745841572642,0.00822072469392795
真的,0.0453065022682331,0.00472779875101436
精华,0.00825869489356752,0.000493949123240306
如果,0.0735140165173898,0.00726810852767879
的人,0.120797952774224,0.0122428818403133
承诺,0.0133185995114575,0.000317538722083054
那么,0.0519948819355589,0.0035634901033765
我的,0.0640339653367454,0.00867939173693681
不要,0.083343026637199,0.0079031859718449
因为,0.0813074328254042,0.00702113396605864
皮肤,0.0186693032453181,0.00282256641851604
怎么,0.0372804466674421,0.00758564724976185
知道,0.0742700942189136,0.00613908196027238
时候,0.0968361056182389,0.00733867268814169
不用,0.0178550657206002,0.00264615601735878
试试,0.0108758869373037,0.00169353985110962
脸上,0.0104687681749447,0.000882052005786261
不到,0.0273351169012446,0.00282256641851604
地址,0.0273351169012446,0.00532759411494902
安全,0.0119809235779923,0.00204636065342413
有效,0.0111666860532744,0.00186995025226687
男人,0.0364662091427242,0.00564513283703207
朋友,0.0493195300686286,0.0081854426136965
需要,0.0429219495172735,0.00550400451610627
唯一,0.0128533209259044,0.000882052005786261
一次,0.0309410259392811,0.00628021028119818
都是,0.0470512969640572,0.00779733973115055
正品,0.00866581365592649,0.0182761175598913
了一,0.0356519716180063,0.0106199061496666
任何,0.0237873676864022,0.00134071904879512
也不,0.0489705711294638,0.0039868750661539
生长,0.00674653949051995,0.000493949123240306
分钟,0.016517389787135,0.0105846240694351
我们,0.112655577527044,0.0134424725681826
姐妹,0.00657206002093754,0.000388102882545955
鼻子,0.00569966267302547,0.000564513283703207
打造,0.0276259160172153,0.00462195251032001
眼睛,0.0139001977433989,0.00211692481388703
坚持,0.0206467372339188,0.00218748897434993
一直,0.0290799115970687,0.00321066930106199
手术,0.00453646620914272,0.000388102882545955
发现,0.0334418983366291,0.00642133860212398
天猫,0.00500174479469582,0.000105846240694351
头发,0.00750261719204374,0.00165825777087817
已经,0.0314644643480284,0.00511590163356031
