183342,62901
一个,0.179202238438181,0.0193621773316396
佰草,0.0045468275544109,1.6605640936226E-05
世家,0.00443554156531693,0.000249084614043391
推荐,0.0348484125848556,0.00689964380900192
可以,0.0936551088217993,0.0188390996421484
精油,0.00562789144846664,0.000257387434511504
用了,0.00968188105117566,0.000614408714640363
没有,0.10879000333858,0.00872626431198678
神器,0.0104290869779495,0.000332112818724521
效果,0.0121619688081271,0.00209231075796448
不是,0.0962782785647287,0.0053553192019329
自己,0.168486987488275,0.0147956260741774
就是,0.0933053528560754,0.00847717969794339
无效,0.00286163971955931,4.15141023405651E-05
每天,0.024657795583536,0.00577876304580666
产品,0.00777412123813612,0.001469599222856
分享,0.0333381027328659,0.0511453740835762
现在,0.0448641516033131,0.00709891150023663
退款,0.00263906774137136,6.64225637449041E-05
什么,0.104751911734313,0.0132596042875765
女人,0.0406193860193002,0.00440879766856801
这个,0.0645140776776204,0.0141147947957921
这款,0.0100157390184576,0.00158583870940959
你的,0.0971685664774805,0.00709891150023663
真的,0.0404445080364382,0.00312186049601049
精华,0.00475350153415685,0.000539683330427346
如果,0.0629242778334208,0.00572894612299798
的人,0.116262062606318,0.00914970815586055
承诺,0.00815567320074403,0.000315507177788295
那么,0.0439897616890034,0.00255726870417881
我的,0.0670895534252238,0.00970599712722412
不要,0.0726061588845964,0.00645959432419193
因为,0.0720815249360106,0.00453333997558971
皮肤,0.0152938745012003,0.00257387434511504
怎么,0.0350709845630435,0.00667546765636287
知道,0.0695855391806172,0.00534701638146478
时候,0.0925263509324176,0.00614408714640363
不用,0.0146738525619624,0.00200097973281524
试试,0.0102224129982035,0.0027399307544773
脸上,0.00677254733629036,0.000722345380725833
不到,0.0221936058250266,0.00208400793749637
地址,0.0268835153654155,0.0101211381506298
安全,0.00936392108233573,0.00215043050124127
有效,0.0070110173129203,0.00142808512051544
男人,0.0305559530055166,0.00416801587499274
朋友,0.0427974118058536,0.00809524995641019
需要,0.0382982782467687,0.00419292433639707
唯一,0.00965008505429166,0.000871796149151867
一次,0.0277579052797253,0.0054217417656778
都是,0.0446097836282412,0.0058700940709559
正品,0.00427656158089697,0.0196361704070873
了一,0.0345463506144576,0.0103121030213964
任何,0.0201427640260091,0.00117069768600394
也不,0.0447369676157772,0.00286447306149899
生长,0.00392680561517305,0.000572894612299798
分钟,0.0126389087613869,0.00877608123479546
我们,0.112128583011399,0.01042834250795
姐妹,0.00468990954038886,0.000398535382469425
鼻子,0.00311600769463125,0.000348718459660747
打造,0.0256434714869398,0.00489866407618668
眼睛,0.0115737428657732,0.00171038101643128
坚持,0.0183144942051796,0.00182662050298486
一直,0.029061541151969,0.00258217716558315
手术,0.00233700577097343,0.00027399307544773
发现,0.033147326751562,0.00477412176916499
天猫,0.00352935565412315,0.000282295895915843
头发,0.0045309295559689,0.00101294409710979
已经,0.0304923610117486,0.00388571997907689
增高,0.00181237182238756,0.00467448792354763
老师,0.00712230330201428,0.00161904999128204
起来,0.0317324048902243,0.00578706586627477
都不,0.0323683248279042,0.00163565563221826
化妆,0.00613662739861051,0.00079707076493885
还是,0.0425430438307817,0.00596972791657326
一样,0.0273127613233494,0.0039521425428218
使用,0.0140697286211666,0.00388571997907689
副作,0.00333857967281919,4.15141023405651E-05
喜欢,0.0546573186435828,0.0393138549165151
美白,0.00969777904961765,0.00157753588894147
这么,0.024943959555492,0.00388571997907689
