242066,77570
一个,0.173959004769885,0.0176903997665597
佰草,0.00367410081216965,6.07917517751192E-06
世家,0.00362253448498131,0.000237087831922965
推荐,0.034124017016888,0.0062737087831923
可以,0.091659146577285,0.0172587783289563
精油,0.0051566327188346,0.000231008656745453
用了,0.0104550728374372,0.000626155043283727
没有,0.105285548536805,0.00804274875984826
神器,0.0107515792187701,0.000431621437603346
效果,0.0127368828155215,0.00201220698375644
不是,0.0935671006832538,0.00491197354342963
自己,0.16252417171587,0.0133437895146387
就是,0.091659146577285,0.00781781927828032
无效,0.00248807528683769,5.47125765976072E-05
每天,0.024287740105711,0.00506395292286743
产品,0.00776073224184607,0.00130094348798755
分享,0.032190279747325,0.0505544207761891
现在,0.04575222379786,0.00694849722789612
退款,0.0022947015598814,6.07917517751192E-05
什么,0.10194662885136,0.0124683882890769
女人,0.0390743844269692,0.00393930551502772
这个,0.0624597138068841,0.0134045812664138
这款,0.0105066391646255,0.001531952144733
你的,0.0925744488848782,0.00653511331582531
真的,0.0413433028232564,0.00287544985896314
精华,0.00542735593657342,0.000474175663845929
如果,0.0596622405569163,0.00496060694484972
的人,0.111073868763697,0.00805490711020329
承诺,0.00738687636973057,0.00028572123334306
那么,0.0428516178935155,0.00248638264760237
我的,0.0700786386489622,0.0098482637875693
不要,0.0694340595591079,0.00573266219239374
因为,0.0695629753770788,0.00394538469020523
皮肤,0.015946886682996,0.00223105729014687
怎么,0.0358901637230888,0.0063284213597899
知道,0.0686089983240944,0.00477823168952437
时候,0.0894804692535774,0.00570834549168369
不用,0.0144643547763311,0.00184199007878611
试试,0.0107644708005672,0.00273562882988036
脸上,0.00721928580636844,0.000589679992218656
不到,0.0211164109836277,0.00179335667736601
地址,0.0280649735722573,0.0116416204649353
安全,0.00917880623952559,0.00205476120999903
有效,0.00701302049761506,0.00126446843692248
男人,0.0288771432254738,0.00361103005544208
朋友,0.0419492071677195,0.00718558505981908
需要,0.036508959649349,0.00384811788736504
唯一,0.0093592883846848,0.000832846999319132
一次,0.0271883460100554,0.00555636611224589
都是,0.044862704653861,0.00539222838245307
正品,0.00403506510248808,0.0184016632623286
了一,0.0345236560525977,0.0106689524365334
任何,0.0193502642774268,0.00100914307946698
也不,0.0438571612736883,0.0026018869759751
生长,0.00389325770272012,0.000486334014200953
分钟,0.0126466417429419,0.00809138216126836
我们,0.108508443986077,0.00961117595564634
姐妹,0.00486012633750161,0.000431621437603346
鼻子,0.00293928064973572,0.000340433809940667
打造,0.0239525589789867,0.00425542262425834
眼睛,0.011177001418074,0.00156842719579807
坚持,0.0178935155343561,0.00154411049508803
一直,0.0291349748614155,0.00261404532633012
手术,0.00211421941472219,0.0002553253574555
发现,0.0323063039834988,0.00438308530298609
天猫,0.00364831764857548,0.000267483707810524
头发,0.0048730179192987,0.00100306390428947
已经,0.0300760603326028,0.0036718218072172
增高,0.00167590563362125,0.00423110592354829
老师,0.0070645868248034,0.00151979379437798
起来,0.0331958231274977,0.005355753331388
都不,0.0319840144385716,0.00156234802062056
化妆,0.00609771819002192,0.000765976072366501
还是,0.0436380043831378,0.0056657912654411
一样,0.0273430449916205,0.00370221768310476
使用,0.0147350779940699,0.00413991829588561
副作,0.00346783550341627,3.03958758875596E-05
喜欢,0.0524945210777362,0.0387547417566385
美白,0.0102230243650896,0.00143468534189281
这么,0.0260152120665206,0.00378732613558992
尼玛,0.00341626917622792,0.000996984729111954
很多,0.0352713677968287,0.00263228285186266
涂抹,0.00341626917622792,0.000425542262425834
有一,0.0566842851617894,0.00425542262425834
羡慕,0.00810880495036741,0.00028572123334306
看到,0.0287482274075029,0.0033678630483416
闺蜜,0.00541446435477633,0.000468096488668417
的心,0.0430449916204718,0.00266267872775022
妹子,0.00479566842851618,0.000547125765976072
