33628,12515
一个,0.195045944866161,0.0256713872969261
佰草,0.0227726727926488,0
世家,0.0222133439872153,9.47283664093213E-05
推荐,0.0501797842588893,0.00478378250367072
可以,0.107790651218538,0.0192298583810922
精油,0.0181382341190571,9.47283664093213E-05
用了,0.0201358369956053,0.00104201203050253
没有,0.112824610467439,0.010751669587458
神器,0.0185377546943668,0.000142092549613982
效果,0.0207750699161007,0.00184720314498176
不是,0.105633240111866,0.00682044238147113
自己,0.176667998401918,0.0190877658314782
就是,0.0974830203755493,0.0116989532515512
无效,0.0117459049141031,4.73641832046606E-05
每天,0.0330003995205753,0.0060152512669919
产品,0.0163004394726328,0.00151565386254914
分享,0.0318817419097083,0.0170037417704732
现在,0.0531362365161806,0.00805191114479231
退款,0.0110267678785457,9.47283664093213E-05
什么,0.106032760687175,0.0151565386254914
女人,0.0466640031961646,0.00516269596930801
这个,0.0735117858569716,0.0167195566712452
这款,0.0167798641630044,0.0015630180457538
你的,0.103555733120256,0.00862028134324824
真的,0.0485817019576508,0.00492587505328471
精华,0.0105473431881742,0.000331549282432624
如果,0.0722333200159808,0.00772036186235968
的人,0.120015980823012,0.0120778667171885
承诺,0.0151817818617659,0.000378913465637285
那么,0.055932880543348,0.00397859138919149
我的,0.0660807031562125,0.00899919480888552
不要,0.0807830603276069,0.00781509022876901
因为,0.0811825809029165,0.0075782693127457
皮肤,0.020455453455853,0.00241557334343769
怎么,0.0410707151418298,0.00753090512954104
知道,0.0759089093088294,0.0057784303509686
时候,0.0938074310827008,0.00795718277838299
不用,0.0190970834998002,0.00213138824420973
试试,0.0135037954454654,0.00194193151139109
脸上,0.0125449460647223,0.000947283664093213
不到,0.0307630842988414,0.0028892151754843
地址,0.0278865361566121,0.00535215270212665
安全,0.0134238913304035,0.00203665987780041
有效,0.0132640831002797,0.00189456732818643
男人,0.0351578106272473,0.00544688106853597
朋友,0.0510587295245705,0.00838346042722493
需要,0.0425888933280064,0.00549424525174063
唯一,0.0137435077906512,0.00104201203050253
一次,0.0308429884139033,0.0062520721830152
都是,0.046264482620855,0.00790981859517833
正品,0.0109468637634838,0.0178562970681571
了一,0.035477427087495,0.0108937621370719
任何,0.0258889332800639,0.0015630180457538
也不,0.0487415101877747,0.00412068393880548
生长,0.00823012385137835,0.000378913465637285
分钟,0.0175789053136237,0.0101359352057974
我们,0.111546144626448,0.0138303414957609
姐妹,0.00854974031162605,0.000378913465637285
鼻子,0.00711146624051139,0.000615734381660588
打造,0.029005193767479,0.0046890541372614
眼睛,0.0153415900918897,0.00236820916023303
坚持,0.0213343987215342,0.00194193151139109
一直,0.0310027966440272,0.00317340027471226
手术,0.0059129045145825,0.000378913465637285
发现,0.0345185777067519,0.00606261545019656
天猫,0.00639232920495406,0.000142092549613982
头发,0.00878945265681183,0.00165774641216312
已经,0.0326008789452657,0.00563633780135462
增高,0.00687175389532561,0.00497323923648937
老师,0.0104674390731123,0.00208402406100507
起来,0.0318817419097083,0.00667834983185715
都不,0.0362764682381143,0.00241557334343769
化妆,0.00942868557730723,0.00075782693127457
还是,0.0421094686376348,0.00871500970965756
一样,0.0298841390331602,0.00549424525174063
使用,0.0164602477027567,0.00383649883957751
副作,0.00751098681582101,4.73641832046606E-05
喜欢,0.0572912504994007,0.0333917491592858
美白,0.0131042748701558,0.00104201203050253
这么,0.0275669196963644,0.00487851087008005
尼玛,0.00823012385137835,0.000899919480888552
很多,0.0381941669996005,0.00388386302278217
涂抹,0.00695165801038753,0.000426277648841946
有一,0.0617658809428686,0.00677307819826647
羡慕,0.0112664802237315,0.000284185099227964
看到,0.0330803036356372,0.00393122720598683
闺蜜,0.00759089093088294,0.000805191114479231
的心,0.0515381542149421,0.00336285700753091
妹子,0.00711146624051139,0.000615734381660588
轮廓,0.00463443867359169,0
瘦脸,0.00495405513383939,0.000142092549613982
还在,0.0127047542948462,0.000899919480888552
全网,0.0280463443867359,0.00407331975560081
保证,0.00751098681582101,0.000615734381660588
秘密,0.00950858969236916,0.000473641832046606
的大,0.0127047542948462,0.00279448680907498
疗程,0.00671194566520176,0
我是,0.0165401518178186,0.00473641832046606
美容,0.00934878146224531,0.00165774641216312
明星,0.0112664802237315,0.00431014067162412
整形,0.00479424690371554,9.47283664093213E-05
人的,0.0663204155013983,0.00871500970965756
增长,0.00519376747902517,0.000142092549613982
排毒,0.00647223332001598,0.00104201203050253
万人,0.0199760287654814,0.000663098564865249
拥有,0.029085097882541,0.00369440628996353
问题,0.0230922892528965,0.00544688106853597
别人,0.0564123052337195,0.00426277648841946
斑点,0.00487415101877747,9.47283664093213E-05
到了,0.0265281662005593,0.00487851087008005
其实,0.0409908110267679,0.00274712262587032
最新,0.00583300039952058,0.00336285700753091
只要,0.0283659608469836,0.00127883294652584
美丽,0.0219736316420296,0.00521006015251267
科技,0.00415501398322014,0.00165774641216312
方法,0.0116660007990412,0.00397859138919149
竟然,0.00711146624051139,0.000947283664093213
天然,0.00775069916100679,0.00241557334343769
植物,0.00479424690371554,0.00127883294652584
睫毛,0.00567319216939672,0.000142092549613982
必须,0.0165401518178186,0.00241557334343769
高端,0.00639232920495406,0.0028892151754843
在用,0.00671194566520176,0.000142092549613982
鼻梁,0.00351578106272473,0.000142092549613982
好看,0.00998801438274071,0.00194193151139109
大眼,0.00407510986815821,4.73641832046606E-05
轻松,0.0132640831002797,0.00165774641216312
美眼,0.00375549340791051,0
一周,0.00479424690371554,0.000899919480888552
人士,0.00479424690371554,0.000378913465637285
为小,0.00487415101877747,0.000521006015251267
一定,0.0373152217339193,0.00658362146544783
妊娠,0.00447463044346784,0.000189456732818643
吃饭,0.00942868557730723,0.00142092549613982
抢购,0.00495405513383939,0.000142092549613982
各种,0.011825809029165,0.0042154123052148
祛痘,0.00599280862964443,9.47283664093213E-05
祛斑,0.00423491809828206,4.73641832046606E-05
身高,0.00415501398322014,0.000663098564865249
永远,0.0420295645225729,0.00331549282432624
研究,0.00511386336396324,0.00260503007625633
链接,0.00639232920495406,0.00454696158764742
隆鼻,0.0031162604874151,0.000284185099227964
只是,0.0500998801438274,0.00255766589305167
相信,0.0240511386336396,0.000994647847297873
今日,0.00974830203755493,0.00241557334343769
正常,0.00631242508989213,0.00146828967934448
是我,0.0423491809828206,0.00222611661061905
秒杀,0.0052736715940871,0.00137356131293516
就能,0.0138234119057131,0.00175247477857244
明显,0.00543347982421095,0.000615734381660588
丰胸,0.00447463044346784,0.000663098564865249
按摩,0.00583300039952058,0.00113674039691186
科学,0.00487415101877747,0.00104201203050253
厘米,0.00391530163803436,0.00123146876332118
爱情,0.050579304834199,0.00435750485482878
毒素,0.00335597283260088,0.000568370198455928
让你,0.0440271673991211,0.00260503007625633
痘痘,0.00671194566520176,0.000236820916023303
幸福,0.0536955653216141,0.00397859138919149
但是,0.0271673991210547,0.002652394259461
韩国,0.00599280862964443,0.00805191114479231
世界,0.0501797842588893,0.00994647847297873
个人,0.0996404314822213,0.00440486903803344
以前,0.0124650419496604,0.000568370198455928
强效,0.00319616460247703,0
自信,0.0103875349580503,0.00189456732818643
大的,0.0234918098282062,0.00492587505328471
开始,0.0291650019976029,0.0071046274806991
修复,0.00407510986815821,0.000142092549613982
脸部,0.00495405513383939,0.000189456732818643
活动,0.0215741110667199,0.00539951688533131
你们,0.02365161805833,0.00473641832046606
好用,0.00583300039952058,0.00071046274806991
绝对,0.00974830203755493,0.00146828967934448
无数,0.00639232920495406,0.0013261971297305
紧致,0.00335597283260088,0.000142092549613982
痘印,0.00463443867359169,4.73641832046606E-05
来的,0.0278865361566121,0.00345758537394023
以为,0.0234918098282062,0.00232084497702837
肌肤,0.0135037954454654,0.00208402406100507
漂亮,0.0142229324810228,0.00194193151139109
眼圈,0.00391530163803436,0.000142092549613982
一瓶,0.00399520575309628,0.000142092549613982
变大,0.0034358769476628,4.73641832046606E-05
你是,0.0211745904914103,0.00227348079382371
完全,0.00831002796644027,0.00217875242741439
粉嫩,0.00335597283260088,0.000236820916023303
简直,0.00543347982421095,0.00217875242741439
解决,0.00775069916100679,0.000947283664093213
终于,0.0154214942069517,0.00355231374034955
这货,0.00415501398322014,0.000378913465637285
让我,0.0266080703156213,0.00274712262587032
眼袋,0.00287654814222932,0.000189456732818643
不能,0.0414702357171394,0.00653625728224317
毛孔,0.00942868557730723,0.000805191114479231
这样,0.0482620854974031,0.00743617676313172
机会,0.0145425489412705,0.00350494955714489
非常,0.0144626448262085,0.00336285700753091
鼻翼,0.00255693168198162,4.73641832046606E-05
好的,0.0477027566919696,0.00876237389286222
一天,0.0359568517778666,0.00369440628996353
高了,0.00359568517778666,0.000236820916023303
最近,0.00966839792249301,0.00322076445791692
性感,0.0206951658010388,0.00554160943494529
不过,0.0194166999600479,0.0042154123052148
罩杯,0.0031162604874151,9.47283664093213E-05
担心,0.00854974031162605,0.000615734381660588
瘦腿,0.00455453455852976,0.000615734381660588
风靡,0.0034358769476628,0.000236820916023303
彻底,0.0221334398721534,0.000615734381660588
促进,0.00375549340791051,0.00260503007625633
中的,0.0382740711146624,0.0075782693127457
想到,0.0121454254894127,0.00113674039691186
平胸,0.00263683579704355,0
眼部,0.00375549340791051,0.000189456732818643
口服,0.00407510986815821,9.47283664093213E-05
生活,0.0674390731122653,0.0200350494955714
采用,0.00263683579704355,0.0044522332212381
美人,0.00367558929284858,0.00075782693127457
再也,0.0127047542948462,0.000284185099227964
所以,0.0341190571314423,0.00369440628996353
瘦身,0.0116660007990412,0.00113674039691186
为了,0.0212544946064722,0.00341022119073557
抱着,0.00615261685976828,0.000615734381660588
购买,0.00455453455852976,0.000568370198455928
不起,0.0144626448262085,0.00317340027471226
辣妈,0.00351578106272473,9.47283664093213E-05
失眠,0.00767079504594487,0.00350494955714489
改变,0.020455453455853,0.00146828967934448
特别,0.0130243707550939,0.00359967792355421
原价,0.00511386336396324,0.00104201203050253
总是,0.0266879744306832,0.00383649883957751
青春,0.0250099880143827,0.00535215270212665
消失,0.00894926088693568,0.000663098564865249
告诉,0.0178186176588094,0.00165774641216312
每次,0.010707151418298,0.000899919480888552
一起,0.046264482620855,0.00928337990811349
不会,0.054814222932481,0.00521006015251267
雀斑,0.0031162604874151,0.000142092549613982
你不,0.0288453855373552,0.00104201203050253
过去,0.0220535357570915,0.00175247477857244
黄金,0.00471434278865362,0.0013261971297305
胸部,0.00319616460247703,0.000568370198455928
日本,0.00495405513383939,0.00246293752664235
大家,0.0275669196963644,0.00516269596930801
速度,0.00551338393927287,0.00208402406100507
妹纸,0.00479424690371554,9.47283664093213E-05
给我,0.0155813024370755,0.00227348079382371
居然,0.00567319216939672,0.00127883294652584
拒绝,0.00807031562125449,0.00108937621370719
年人,0.00287654814222932,0.00113674039691186
想要,0.0194166999600479,0.00151565386254914
时间,0.049460647223332,0.00952020082413679
身边,0.0238114262884539,0.00217875242741439
不敢,0.0087095485417499,0.00146828967934448
素颜,0.00271673991210547,0.000142092549613982
买二,0.00271673991210547,0
出门,0.00487415101877747,0.000568370198455928
身材,0.00703156212544946,0.00127883294652584
没了,0.00447463044346784,0.000284185099227964
的小,0.0155013983220136,0.00658362146544783
才能,0.0198961246504195,0.00255766589305167
晚上,0.0127047542948462,0.00326812864112158
全额,0.00223731522173392,0
变的,0.00783060327606872,0.000236820916023303
女神,0.00583300039952058,0.00123146876332118
是你,0.0347582900519377,0.00170511059536778
激动,0.00359568517778666,0.000663098564865249
东西,0.0356372353176189,0.00397859138919149
就像,0.0191769876148622,0.00161038222895846
上最,0.00982820615261686,0.00170511059536778
个月,0.0127047542948462,0.00161038222895846
今天,0.0283659608469836,0.0116042248851419
我会,0.0123052337195366,0.000331549282432624
错过,0.0132640831002797,0.0017998389617771
而且,0.00998801438274071,0.002652394259461
爱你,0.0355573312025569,0.0042154123052148
神奇,0.00583300039952058,0.00123146876332118
风险,0.00351578106272473,0.000663098564865249
的脸,0.00535357570914902,0.000615734381660588
是一,0.0688773471833799,0.00847818879363425
我不,0.0319616460247703,0.0017998389617771
蹦高,0.00199760287654814,0
才涂,0.00199760287654814,0
不想,0.0190970834998002,0.00127883294652584
晶体,0.00239712345185777,4.73641832046606E-05
长发,0.00263683579704355,0.000331549282432624
模特,0.00447463044346784,0.000473641832046606
自然,0.0155813024370755,0.00497323923648937
脸蛋,0.00263683579704355,0
原来,0.0179784258889333,0.00222611661061905
完美,0.0127047542948462,0.00345758537394023
那些,0.0231721933679584,0.00322076445791692
烦恼,0.0123851378345985,0.000899919480888552
去了,0.0164602477027567,0.00175247477857244
下来,0.0153415900918897,0.00217875242741439
最大,0.0111865761086696,0.00251030170984701
用过,0.00447463044346784,0.000284185099227964
真正,0.0251697962445066,0.00227348079382371
来了,0.0121454254894127,0.00393122720598683
一款,0.00679184978026368,0.00175247477857244
从来,0.0108669596484219,0.000473641832046606
的好,0.0169396723931282,0.00232084497702837
困扰,0.00263683579704355,0
变成,0.011825809029165,0.00222611661061905
变得,0.0137435077906512,0.00113674039691186
真心,0.0111865761086696,0.00222611661061905
眼霜,0.00231721933679584,0.000142092549613982
大学,0.00687175389532561,0.0044522332212381
我也,0.0147023571713943,0.00184720314498176
黄褐,0.00199760287654814,4.73641832046606E-05
火爆,0.00375549340791051,0.00123146876332118
果断,0.00303635637235318,0.000426277648841946
有了,0.01286456252497,0.0013261971297305
的微,0.0087095485417499,0.00213138824420973
感觉,0.0294047143427887,0.00535215270212665
星期,0.00383539752297243,0.000899919480888552
哈哈,0.0181382341190571,0.0195614076635248
多了,0.0127047542948462,0.00194193151139109
油膏,0.00175789053136237,4.73641832046606E-05
辈子,0.0213343987215342,0.00113674039691186
还能,0.0135037954454654,0.00369440628996353
木耳,0.00215741110667199,0.00161038222895846
工作,0.0159808230123851,0.00933074409131815
美的,0.0131042748701558,0.00336285700753091
大了,0.00647223332001598,0.00104201203050253
快速,0.00455453455852976,0.000994647847297873
点击,0.00671194566520176,0.00269975844266566
学习,0.00862964442668797,0.00213138824420973
脱发,0.00199760287654814,0.000284185099227964
独享,0.00175789053136237,0
过来,0.00807031562125449,0.000899919480888552
妈妈,0.039792249300839,0.0105148486714347
娱乐,0.00439472632840591,0.000899919480888552
促销,0.00415501398322014,0.00170511059536778
而是,0.0313224131042749,0.000994647847297873
你也,0.018298042349181,0.00899919480888552
妹啊,0.00175789053136237,0.000331549282432624
女生,0.0106272473032361,0.00279448680907498
一点,0.0245305633240112,0.00331549282432624
不长,0.00367558929284858,0
无法,0.0261286456252497,0.00208402406100507
或者,0.0131841789852177,0.00255766589305167
宝贝,0.00455453455852976,0.00146828967934448
祛除,0.00215741110667199,0
之后,0.0149420695165801,0.00364704210675887
虽然,0.0130243707550939,0.00213138824420973
大象,0.00303635637235318,9.47283664093213E-05
十年,0.00431482221334399,0.00165774641216312
佳人,0.00255693168198162,0.000236820916023303
想哭,0.00319616460247703,0.000284185099227964
一切,0.0370755093887335,0.00303130772509828
皱纹,0.00463443867359169,0.000331549282432624
岁了,0.00175789053136237,0
气质,0.00511386336396324,0.0130251503812817
经历,0.0131042748701558,0.00127883294652584
舒摩,0.00159808230123851,0
可是,0.0190970834998002,0.00142092549613982
来啦,0.0027966440271674,0.000899919480888552
好多,0.00687175389532561,0.000899919480888552
伤害,0.0140631242508989,0.000899919480888552
面对,0.0160607271274471,0.00137356131293516
腿的,0.00231721933679584,9.47283664093213E-05
不错,0.00990811026767878,0.00412068393880548
强烈,0.00431482221334399,0.000994647847297873
睡觉,0.0167798641630044,0.00459432577085208
护肤,0.00671194566520176,0.000994647847297873
我就,0.0144626448262085,0.00198929569459575
简单,0.0203755493407911,0.00492587505328471
